time,x,y,z
1479663633,-192,192,-1024
1479663633,-160,160,-944
1479663633,-304,224,-864
1479663633,-240,240,-928
1479663633,-272,224,-912
1479663633,-208,208,-960
1479663633,-208,224,-944
1479663633,-240,208,-976
1479663634,-208,224,-992
1479663634,-128,208,-944
1479663634,-176,224,-976
1479663634,-160,224,-992
1479663634,-288,240,-960
1479663634,-224,224,-928
1479663634,-192,208,-992
1479663634,-448,224,-1008
1479663634,-480,128,-1040
1479663635,-640,-48,-448
1479663635,-992,-64,160
1479663635,-928,-48,416
1479663635,-976,-32,208
1479663635,-960,-64,256
1479663635,-944,-64,240
1479663635,-976,-32,208
1479663635,-1024,-16,176
1479663635,-992,-16,176
1479663635,-976,-16,176
1479663636,-992,-48,176
1479663636,-976,-16,192
1479663636,-1008,-32,160
1479663636,-992,0,160
1479663636,-992,-16,144
1479663636,-992,-32,144
1479663636,-1008,-16,96
1479663636,-992,-16,96
1479663636,-1024,0,32
1479663636,-1008,-16,-16
1479663637,-992,0,-80
1479663637,-928,-32,-160
1479663637,-544,-16,-800
1479663637,-512,80,-1008
1479663637,16,-32,-1072
1479663637,64,-32,-976
1479663637,32,0,-1008
1479663637,0,16,-1056
1479663637,-48,16,-1024
1479663637,48,-16,-1024
1479663638,16,-16,-1008
1479663638,0,0,-1024
1479663638,-16,16,-1008
1479663638,32,0,-1024
1479663638,64,-16,-1008
1479663638,0,16,-1040
1479663638,64,-16,-1024
1479663638,176,-32,-848
1479663638,496,16,-976
1479663638,832,-336,-384
1479663639,1248,-272,320
1479663639,960,-144,176
1479663639,976,-176,240
1479663639,1008,-160,288
1479663639,1008,-128,336
1479663639,976,-144,304
1479663639,1008,-144,256
1479663639,976,-128,240
1479663639,976,-128,288
1479663639,1008,-144,288
1479663640,1008,-144,320
1479663640,992,-128,272
1479663640,992,-128,320
1479663640,1008,-128,304
1479663640,992,-128,288
1479663640,1024,-112,320
1479663640,992,-128,320
1479663640,992,-128,224
1479663640,1008,-128,288
1479663640,1008,-128,160
1479663641,1200,-224,-48
1479663641,1104,-128,-528
1479663641,368,-112,-816
1479663641,-336,-64,-816
1479663641,-272,-32,-976
1479663641,-96,-48,-1088
1479663641,-80,-48,-1040
1479663641,-64,-64,-928
1479663641,32,16,-1040
1479663641,32,-32,-976
1479663642,80,-48,-1008
1479663642,32,-32,-1040
1479663642,80,-48,-1040
1479663642,32,-48,-992
1479663642,48,-64,-1040
1479663642,80,-128,-1168
1479663642,-96,-192,-1088
1479663642,-192,-704,-512
1479663642,64,-1104,-96
1479663642,0,-1168,144
1479663643,-64,-1056,64
1479663643,-48,-1040,128
1479663643,-48,-1024,48
1479663643,-64,-1024,48
1479663643,-80,-1008,48
1479663643,-64,-1008,32
1479663643,-48,-1040,80
1479663643,-96,-992,-32
1479663643,-96,-1008,48
1479663643,-64,-1024,32
1479663644,-64,-1024,48
1479663644,-80,-1008,0
1479663644,-48,-1056,32
1479663644,-64,-1040,0
1479663644,-96,-992,-80
1479663644,-112,-1024,-64
1479663644,-128,-992,-96
1479663644,-64,-1088,16
1479663644,-64,-832,-416
1479663644,-32,-656,-640
1479663645,-144,-240,-928
1479663645,-144,32,-1200
1479663645,-256,-112,-928
1479663645,-240,-48,-800
1479663645,-112,-112,-912
1479663645,-160,48,-1120
1479663645,-128,64,-1072
1479663645,-80,48,-1056
1479663645,-64,16,-1008
1479663645,-96,48,-1008
1479663646,-48,16,-1008
1479663646,-32,0,-992
1479663646,-16,64,-976
1479663646,80,112,-1040
1479663646,16,304,-720
1479663646,288,544,-896
1479663646,128,768,-464
1479663646,240,896,-256
1479663646,304,1184,-80
1479663646,304,1024,144
1479663647,288,912,224
1479663647,256,992,176
1479663647,304,944,160
1479663647,288,992,160
1479663647,288,960,144
1479663647,272,1008,144
1479663647,304,976,128
1479663647,304,960,160
1479663647,304,976,128
1479663648,304,976,144
1479663648,288,976,144
1479663648,288,976,144
1479663648,304,992,96
1479663648,304,1008,64
1479663648,272,1024,80
1479663648,288,1024,-192
1479663648,368,928,-320
1479663648,-96,144,-240
1479663648,160,-80,-1232
1479663649,0,64,-1136
1479663649,32,-16,-992
1479663649,64,0,-944
1479663649,16,0,-1152
1479663649,80,-144,-960
1479663649,48,-192,-960
1479663649,128,-224,-944
1479663649,64,-208,-912
1479663649,64,-144,-976
1479663649,368,-112,-992
1479663650,816,-64,-608
1479663650,1152,32,-16
1479663650,560,112,704
1479663650,448,352,752
1479663650,48,64,1200
1479663650,-32,112,1008
1479663650,-48,112,1152
1479663650,-48,96,1200
1479663650,-64,80,1008
1479663650,-64,112,1008
1479663651,-48,96,1072
1479663651,-64,80,1056
1479663651,-32,112,1024
1479663651,-48,112,1072
1479663651,-32,64,1072
1479663651,0,80,1072
1479663651,-16,80,1088
1479663651,0,64,1056
1479663651,48,80,1088
1479663651,80,80,1056
1479663652,96,80,1056
1479663652,272,112,1088
1479663652,656,176,944
1479663652,784,160,784
1479663652,944,192,640
1479663652,528,-96,-32
1479663652,208,-416,-640
1479663652,-256,-400,-688
1479663652,-144,-320,-1152
1479663652,-192,-208,-1104
1479663653,-112,-256,-992
1479663653,-128,-240,-912
1479663653,-80,-256,-960
1479663653,-48,-256,-912
1479663653,-32,-256,-976
1479663653,0,-256,-960
1479663653,0,-256,-992
1479663653,16,-240,-944
1479663653,0,-256,-960
